Product_ID,Product_Name,Product_Group,Primary_Category,Street_Address,Locality,Region,Mailing_Address,Postal_Code,Website,Facebook,Twitter,Latitude,Longitude,
4539900,Lakeside Gardens Resort,Accommodation,Accom - Cabin/Cottage,1450 North End Rd,Salt Spring Island,Vancouver Island,1450 North End Rd,V8K1M5,http://www.lakesidegardensresort.com/,,,48.89688,-123.5366,
4539355,Tschurtschenthaler Lodge,Accommodation,Accom - B&B,720 Almberg Rd,Golden,Kootenay Rockies,720 Almberg Rd,V0A1H2,https://tschlodge.com/,,,51.25867,-116.9133,
4541273,Windermere Lakeside B&B,Accommodation,A&A - Activities,4676 Selkirk St,Windermere,Kootenay Rockies,4676 Selkirk St,V0B2L2,http://windermerelakesidebb.com/,,,50.46292,-115.99,
4540924,Blue River Campground,Accommodation,Accom - Cabin/Cottage;Accom - Campground/RV Parks;Accom -Campground / RV Parks,991 West Frontage Rd Hwy 5 & Blue Lake Forest Service Rd,Blue River,Thompson Okanagan,Frontage Roadway,V0E1J0,http://www.bluerivercampground.ca/,https://www.facebook.com/pages/Blue-River-Campground/192260317475161,,52.11538,-119.3063,
4541153,Blue Cedars RV Park,Accommodation,Accom - Campground/RV Parks,4433 Kimball Rd,Prince George,Northern British Columbia,4433 Kimball Rd,V2N5N7,http://www.bluecedarsrvpark.com,,,53.8585,-122.8206,
4578743,Chinook Cove Golf and RV,Accommodation,Accom - Campground/RV Parks;Golf - Golf Course,5045 Boulder Mnt Rd,Barriere,Thompson Okanagan,5045 Boulder Mountain Road,V0E1E0,http://chinookcovegolf.com,https://www.facebook.com/pages/Chinook-Cove-Golf-and-RV/209110515766258,,51.20443,-120.1625,
4578708,Bodega Ridge,Accommodation,Accom - Cabin/Cottage,120 Manastee Rd,Galiano Island,Vancouver Island,120 Manastee Road,V0N1P0,http://www.bodegaridge.com,http://www.facebook.com/bodegaridge,http://www.twitter.com/bodegaridge,48.97298,-123.5578,
4541656,Boundary Creek Provincial Park,Accommodation,Accom - Parks - National;Accom - Parks - Provincial;A&A - Activities,"Boundary Creek Provincial Park, Crowsnest Highway",Greenwood,Thompson Okanagan,Crowsnest Highway 3,V0H1J0,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/boundary_crk/,,,49.05822,-118.6958,
4546059,Brown's Bay Resort,Accommodation,Accom - Hotel;Accom - Cabin/Cottage;Accom - Campground/RV Parks,15021 Brown's Bay Rd,Campbell River,Vancouver Island,15021 Browns Bay Rd,V9H1N9,http://www.brownsbayresort.com,http://www.facebook.com/brownsbayresort,https://twitter.com/brownsbayresort,50.16219,-125.3767,
4545119,Bugaboo Provincial Park,Accommodation,Accom - Parks - Provincial;A&A - Activities,Gravel Road Off Hwy 95,Radium Hot Springs,Kootenay Rockies,Bugaboo Forest Service Road,V0A1M0,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/bugaboo/,http://www.facebook.com/YourBCParks,,50.97529,-119.0672,
4541073,"Camp Beverly Hills Motel, Cottages & RV Park Campground",Accommodation,Accom - Motel;Accom - Cabin/Cottage;Accom - Campground/RV Parks,40 Kingsley Rd,Christina Lake,Thompson Okanagan,40 Kingsley Rd,V0H1E2,http://www.campbeverlyhills.ca/,,,49.05851,-118.2163,
4540650,Canyon Hot Springs Resort,Accommodation,Accom - Cabin/Cottage;Accom - Campground/RV Parks,7050 Trans-Canada Hwy 1,Revelstoke,Kootenay Rockies,7050 Trans Canada Highway #1,V0E2S0,http://www.canyonhotsprings.com/,,,51.13833,-117.8568,
4541726,Ta Ch’ila Provincial Park (Boya Lake),Accommodation,Accom - Parks - National;A&A - Activities,Liard Plain,Stewart,Northern British Columbia,Liard Plain,V0C1L0,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/boya_lk/,https://www.facebook.com/YourBCParks,,49.44236,-123.4296,
4541465,Cassiar RV Park,Accommodation,Accom - Campground/RV Parks,1535 Barcalow Rd,Kitwanga,Northern British Columbia,,V0J2A0,https://cassiarrv.ca/,,,55.114,-128.0316,
4552800,Brannen Lake RV Park & Campsite,Accommodation,Accom - Campground/RV Parks,Biggs Road,Nanaimo,Vancouver Island,Biggs Road,V9T5P9,http://www.brannenlake.com,http://www.facebook.com/BrannenLake,http://twitter.com/BrannenLake,49.20436,-124.0661,
4541706,Bridge Lake Provincial Park,Accommodation,Accom - Parks - National;A&A - Activities,Hwy 24,Bridge Lake,Cariboo Chilcotin Coast,Interlakes Highway 24,V0K1E0,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/bridge_lk/,https://www.facebook.com/YourBCParks?,,51.48217,-120.7042,
4541231,North Star Motel,Accommodation,Accom - Motel,8826 Hwy 95,Kimberley,Kootenay Rockies,8826 95a Hwy,V1A3M6,http://www.northstarmotel.ca/,,,49.69048,-115.9569,
4541315,Boutique Waterfront Lodge,Accommodation,Accom - Motel,71 & 73 South Shore Rd,Lake Cowichan,Vancouver Island,73 Southshore Rd,V0R2G0,http://lakecowichan.org,,,48.82504,-124.0575,
4541148,Fort Steele Campground,Accommodation,Accom - Campground/RV Parks,335 Kelly Road,Fort Steele,Kootenay Rockies,335 Kelly Road,V0B1N0,https://www.fortsteele.com/campground,https://www.facebook.com/pages/Fort-Steele-Campground/103002144877,,49.6004,-115.6415,
900282200,Creekside Campground & RV Park,Accommodation,Accom -Campground / RV Parks,4314 Hwy 101,Sechelt,Vancouver Coast & Mountains,4314 Sunshine Coast Hwy,V0N3A1,https://creeksidecrossingcampground.ca/,,,49.44082,-123.7078,
4541707,Bull Canyon Provincial Park,Accommodation,Accom - Parks - National;A&A - Activities,Hwy 20,Alexis Creek,Cariboo Chilcotin Coast,Chilcotin-Bella Coola Highway 20,V0L1A0,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/bull_canyon/,https://www.facebook.com/YourBCParks?,,52.11324,-122.1555,
4557857,Castlegar Golf Club & RV Park,Accommodation,Accom - Campground/RV Parks;Golf - Golf Course,1602 Aaron Rd,Castlegar,Kootenay Rockies,1602 Aaron Rd,V1N4L6,http://www.golfcastlegar.com,http://www.facebook.com/pages/Castlegar-Golf-Club/122734891607,http://twitter.com/CastlegarGolf,49.30718,-117.619,
4541646,Bromley Rock Provincial Park,Accommodation,Accom - Parks - National;Accom - Parks - Provincial;A&A - Activities,Hwy 3,Princeton,Thompson Okanagan,,V0X1C2,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/bromley_rock/,https://www.facebook.com/kaloya.contracting?fref=ts,,49.41667,-120.2589,
4541185,Canyon RV Resort,Accommodation,Accom - Campground/RV Parks,5012 Sinclair Creek Rd,Radium Hot Springs,Kootenay Rockies,5012 Sinclair Creek Road,V0A1M0,https://www.canyonrv.com/,https://www.facebook.com/CanyonRvResortOnSinclairCreek,,50.62835,-116.0683,
